Día,C,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2020-05-28,48463.84,-0.0008743203195464844,1.1856216962832518,47782.08349999999,48709.75799849754,46854.40900150245,48289.869999999995,47734.759999999995,46469.284999999996,44882.604999999996,49994.86,48058.66,48030.569743589745,47650.69692307692,47738.3851183432,292.1846252465475
2020-05-29,48685.62,0.004576195365451952,1.1910473327949624,47846.74250000001,48835.7015556527,46857.78344434732,48379.555,47824.445,46522.795,44641.649999999994,50246.59,48184.00833333333,48155.11538461539,47703.439615384625,47809.91585798816,345.1995266272279
2020-05-30,48685.62,0.0,1.1910473327949624,47911.4015,48941.7837655901,46881.0192344099,48379.555,47824.445,46647.945,44641.649999999994,50109.62,48293.35749999999,48261.17935897436,47759.962692307694,47854.54428994084,406.6350690335239
2020-05-31,48685.62,0.0,1.1910473327949624,47972.2325,49034.46922111702,46909.99577888298,48379.555,47903.08,46647.945,44641.649999999994,50006.76,48352.335,48353.70557692307,47826.20692307693,47902.37150887574,451.33406804733386
2020-06-01,48633.07,-0.0010793741560650716,1.1897617470852933,48027.758,49106.31867184225,46949.19732815775,48379.555,47933.53,46752.19,44641.649999999994,50006.76,48394.17250000001,48395.525,47884.38115384616,47950.33970414202,445.1852958579839
2020-06-02,48625.61,-0.00015339356532495518,1.1895792452890206,48082.1395,49166.16002450629,46998.11897549371,48480.385,47933.53,46753.7,44641.649999999994,50006.76,48435.388333333336,48429.778269230774,47936.524999999994,47998.41636094675,431.36190828402323
2020-06-03,48678.61,0.0010899606195171607,1.1908758398201806,48153.0475,49197.16910347583,47108.92589652417,48564.515,47933.53,46861.85,44680.715,50006.76,48485.815,48472.807051282056,47985.99307692308,48050.69192307692,422.115128205136
2020-06-04,48527.3,-0.003108346766680481,1.1871741847539576,48220.340500000006,49173.926760637325,47266.754239362686,48574.729999999996,47933.53,46925.682499999995,44680.715,49872.97,48523.63250000001,48492.19730769231,48029.64153846155,48069.27106508876,422.9262426035493
2020-06-05,48485.79,-0.0008553947983919175,1.186158682131534,48285.558000000005,49115.10498590998,47456.01101409003,48574.729999999996,47933.53,46998.145,44680.715,49970.48,48557.99083333334,48517.81057692308,48071.69346153846,48099.818224852075,417.9923520710072
2020-06-06,48485.79,0.0,1.186158682131534,48350.7755,49008.47647099516,47693.07452900484,48585.705,47933.53,47036.424999999996,44718.994999999995,50072.81,48575.54416666667,48546.883012820515,48110.80076923077,48135.40062130177,411.4823915187444
